address,usd_seizable_now,tokens
0x476e93e40e12da89b832e866e97efaf227e4cc4d,60.04,USDC:60.0480
0x4714eaa8624a5dd3e48e4f74c1a82ae2343d6835,59.83,ARB:658.8385
0xcc9a39d5d92db22e023c43b4d4c53030d38dad6a,58.80,USDC.e:55.3371;ARB:38.2143
0x04c5b96745a8b1c13556338a5c01b5c7b4a774c8,58.68,DAI:58.6874
0x7deed5e810b8bb44d213a80316a4e909c3a4a0a1,58.21,USDC:58.2152
0xdcbb2e688e311be6abd02fae981aff01b8ea090b,56.80,WBTC:0.0008
0x2d94ade00ed1dea7308ad9cca283ef4ed1cc259e,55.02,WBTC:0.0007
0x1d638076cc58f2db41a18b5671adf965712f3a1e,54.66,USDC:54.6700
0x3bab50b34ed047e1818a97864410f881fe2f398d,54.56,USDT:54.5767
0x812901f1aec866850191c55d045c4c5e48fc1a33,52.88,ARB:582.3469
0x8dc101bb3e998efcf66ce4409fdaefd2a6fa5971,49.87,USDC.e:49.8768
0x3e5f1a6e9e9ca8a776c2a914bef1f0214545302a,49.18,USDC:49.1812
0x3ae5f59d8813315e17eb3f2bec21c0e935cf0808,47.56,USDC.e:0.0000;ARB:523.7008
0x08be19cdc871f1805aeb4a703f3f92f388a070e6,47.43,ARB:522.3233
0x7bb0241191b56bc8e9854732bb94e88a3078a8e2,47.31,ARB:0.0000;WBTC:0.0006
0x95eb06c13502d116aac5b03112b73886623c56fa,46.48,ARB:0.7822;WBTC:0.0006
0x3d092195151097e43d6719e93f956bc70dd9ba14,46.33,USDC.e:46.3415
0x344cec4dfa58e50fffb71f7cf214bc178a98e699,44.68,USDT:44.6973
0x1e9c6f181cfe1a8bb89579b55982ecd6fd2048b9,44.52,USDC:44.5200
0xd3eadbb102039e493767a9fc20f0f8f0fba81571,43.61,ARB:480.2671
0xd19f986fd945968b1ef546878a62680cd82861f1,43.56,USDC.e:43.5627
0x55db1312f47ccd684e1a310a87a9bb2c287ab54a,42.57,USDC.e:42.5727
0x411610cb9f4dd345645068cfac22722631dd7329,42.32,USDT:42.3329
0x1424d691162398a31b0448700165678ed2cb9329,42.22,ARB:464.9766
0x0db44427582c437daaccf5725717907a7e648603,41.78,USDC.e:41.7865
0xd0eba06674460e2bcc15e0fe69faee8131a88108,39.95,WBTC:0.0005
0xcecde28d37714d11e44086fa1ec92c24a2975fca,39.92,USDT:39.9282
0x1eedeff5ce466e6687b18686c40ed0a34febd386,38.84,USDT:38.8546
0xe58ea0ced4417f0551fb82ddf4f6477072dfb430,38.78,USDT:0.0010;DAI:38.7822
0x5de79bf106af7df9b0eacc9ea81dc53b3a3e262d,37.74,USDC:37.7426
0x390c98b9061ad776ca66d6c02dd11fb899ab5389,37.05,USDC.e:37.0596
0x79081fb65eb76b35c1c2e065b04b1026fb191f1e,36.22,ARB:398.8759
0xd7d6ef24f37255a93dd4312be82aea42778febf3,35.68,WBTC:0.0005
0x70e85eb9e49e532ec1f5ca5fd9b40c3d4abf5108,35.24,USDC.e:35.2486
0x85bde180d79c759abb15a42b30b1b38baf293175,34.97,USDC.e:34.9749
0x64c622416e7c6455d8804a81c19a5a6afd1b6bf0,34.42,USDC:34.4266
0xe51fae4c964e0eba4734a2d0b33db3c0ca7454ba,34.14,USDC.e:34.1478
0x349a44e10284aedb8b013e3f0728f9ad02451684,33.61,USDC.e:33.6188
0x52e8bf25c5dac9fd5d017f6afdb7bbfa84cc9ae5,33.01,DAI:33.0165
0xb956bfb49d3de92446337106bdafd833977ad27a,32.68,ARB:359.8852
0x8465f0641137130873dc204366c125cccb1f591f,31.59,USDC.e:31.5984
0x0f0896f7e1e9d667f79c8258f370eec9b1102e66,30.90,USDC.e:30.9024
0xaeda4088a73daa95642cda172caa5de181719146,30.50,USDC:30.5031
0x2eeaec7ebfd8171c5f62e4cefd43805ffcf3462d,30.31,USDT:30.3213
0x223cf852a2320b7d451bbf5ff8e97cc3aa6fec9b,30.17,USDC.e:30.1758
0x283c74056ecf480ff8610fd56cb52450b934fd12,30.17,DAI:30.1708
0x74db3da0856ea846beb952598410e07cc3316f29,30.04,DAI:30.0444
0x2a98d487bbc2dc9081d9648749db5db5fd247aad,29.95,USDC:29.9577
0x8610925bae4ddc46b12a1de7aa8db2af045d383a,29.89,ARB:329.2165
0x1101bd64134250cbb5c4abd30148639e50fa5ccb,29.81,USDC.e:29.8186
0x7adc99c5883bc8ff4fb45e06fb4d658598155f6e,29.72,USDC:29.7258
0x7dfd5237a0d7d03fc81671b19ffc78b76f41e6db,29.54,USDC:28.3387;ARB:13.2493
0xd4bb17ff65940d028b0aed9c15265ef65cf2a0a5,29.26,USDC.e:29.2644
0x0a9dac354e19624cfb2f3d389fe1614811801353,29.24,USDC.e:29.2465
0x9f814a00565ae9cb2257e378f7cf89a586b8e3f8,28.11,WBTC:0.0004
0x4543e5710338bf6e514258ae7f4033ea29c700bd,27.24,ARB:300.0000
0x15b585c6a3f94eb8c3ee31d26f8167920dd354e9,27.19,USDC.e:27.1956
0xb27226ce5f123f91514ae3955e5cfeb7b9754981,25.94,USDC.e:25.9424
0xfd2500a3b942c5d36d3bef4f11c7568ac3438853,25.17,USDT:25.1783
0xa4d7fdb7a8b67c336b42721bb31991c29fdcfd53,25.10,USDT:25.1026
0x56153619dbc52fb2ec7771d4e7487ecabcaf142d,25.00,USDC:25.0000
0x7306975874b049ce26c70eb60e7710bf01761459,24.96,USDC:24.9656
0xac7688c770e66a14b7aa9cdf958761f3fd3007da,24.74,USDC.e:24.7417
0x6a751b711aca3c188fca7f1cd47e7493d1c8b655,24.68,USDT:24.6910
0xfa4ca6bd07cf1223369884620636b29f1f53c7ee,24.57,USDC.e:24.5766
0xca02db9dd1a020b08d9f8aa082a9d99cb5e095b9,24.48,USDC:24.4821
0x84b65e1352d8da631291821a5c135ec208d1b691,24.47,USDT:24.4793
0xc7ebd2facddda89a79c195eb5f60e5831cc50647,24.25,ARB:144.6445;DAI:11.1163
0x59ae738fc6d2a94b830bfceeeecaa2d9d7395743,24.07,USDC.e:24.0742
0x27220b72fbc4f251026aae40ee17a8786d112d16,23.91,USDT:4.1131;USDC.e:19.7970
0x81eafb994c6fdd4b0a8680351533491220bcb331,23.85,ARB:262.6096
0x679ddb539c5af4973a58712a2d7c703bee5b62fb,23.65,USDT:0.7130;USDC.e:22.9438
0x6c67898e679844db0a8af741ed6c0c30964d2373,23.65,USDT:23.6524
0x1f7b78884be4780cd74e817a6805d782aa1df040,23.57,USDC.e:23.5704
0xd072c08c6d6c6123db5870d1930bbb7375fa4c20,23.41,USDC.e:23.4152
0x6afdbb13247e4f2131e094fceb5ef1ce1cdc93c9,23.39,USDC.e:23.3977
0x381b6a2933531aba4640b259c23ef39085c836cd,23.19,ARB:255.3413
0x2dd34746f703f4d41772d407c02527e51c1ea677,23.16,USDC.e:23.1610
0x37fa3d9b5a7522153259edcaa22de5ed9b3a0150,23.11,ARB:254.4651
0x607db7195b6b6de3e00674c47b817137aa2e75c2,22.96,USDC.e:22.9667
0x2d20d813b5a2bfb5e05da481ba4b74977d4f4974,22.94,USDC.e:22.9460
0x56873296e22ab4e4cd35c86dffd3474c77a50b4d,22.92,USDC.e:22.9219
0x79172b1316d18fcd29fb6939c9818a7e517d5b26,22.92,USDC:22.9203
0xe8b9089d028fbce86de66fe59951e2ed93b18f34,22.79,USDC.e:22.7934
0xc28b68d3fa575156a67038e3368e1635580d537f,22.77,USDC.e:22.7760
0xad5b555f1bcad54e85366697635b98e46358d2d9,22.52,USDC.e:22.5191
0xfc510dab81b32d023f54f9e39a95a0aaf1ed8c0b,22.51,USDC.e:22.5177
0x14b3e6815809f69dc8d1cfcee30755363af11bea,22.27,USDC.e:22.2689
0x83f34a0b389b492129c0fa7b59175cb522ad4798,22.23,USDC.e:22.2314
0x9a2c1268b07057c4569e86827a64e0d4a1548664,22.11,USDC.e:22.1161
0x8e96306f30f76195f3bf8c2c2bbe943ae19a79bf,22.08,USDC.e:22.0867
0x0a24d743322d0fa35e02c1ad094d2ed62e8e47c4,22.08,WBTC:0.0003
0x3d50a9a3d333f19087335298caae12ae80eaa79c,22.02,ARB:242.5490
0x92978b0d605c5ec59f9dbd9f11b689604f64ca3a,22.00,USDC.e:22.0040
0x56eaf95ca6e7f962d005752042c54763d70ec108,21.97,USDC.e:21.9746
0xebedeebd3a2bfec0f7f18a46e703a4573387228c,21.96,USDC.e:21.9624
0x1d1aa2b2e8a43004dfb9a2c9c4cfed98bba0c29e,21.92,USDC:21.9210
0xfbdf73ea501dc2251b9f5a2ab9a486332e458948,21.79,USDC.e:21.7919
0xa66c08ecc37ba298238c457404edd053011c654f,21.78,USDC.e:21.7792
0x44912b75bef28abb2a6f3c81cb2cc351fe1f453a,21.71,USDT:14.2478;ARB:82.2448
0xcdc38127aed1a06eefee1a756db2bd1c449efead,21.69,USDC.e:21.6904
0x0062d9e6e248a6d4153367b28ca8548a008f145c,21.68,USDC.e:21.6858
0xeb9b9587451a5c29d114013a4cab75d8d3adc257,21.66,USDC.e:21.6611
0xebc2b5de262a0bf37e5732b47b1b6f000d4d2d4d,21.63,USDC.e:21.6313
0xc92b1847087ded4e1415d11da63c87f77384ebff,21.49,USDC.e:21.4890
0x5ee397aa12ca6ce173a3f567f3cfc4d33768f057,21.43,USDC.e:21.4344
0x45ed1d95f9d2f8d8f5ee62701b1477c2dcfdbc89,21.42,USDC.e:21.4197
0x6e3e1c270249cc47424e6b1cf0c7aa7c36a28ceb,21.37,USDC.e:21.3696
0xe5bb880a8720b1196013c9dc228f48a353de5cbd,21.32,USDC.e:21.3221
0x793c6bf7ad7ac304beac3ec781f1b89aa72ec46f,21.28,USDC.e:21.2837
0xf005c71cff837ac90eacb18e3243225a95044033,21.26,USDC.e:21.2636
0x099e0d2209c8f7b7248e2315052dfd1ea7646927,21.18,USDC.e:21.1821
0x4a358e074d56a3a6861d1dc69008d4ce9c67a8c2,21.08,USDC.e:21.0872
0x5c172edfe62f1acde0dbf8e8c4fbb435b872c335,20.99,USDT:20.9999
0xa9409d5a4c07a2dce02ba07ec278d83bb2cbca5f,20.99,USDC.e:20.9957
0x57b5101ebb9471a6fa0395211fe376da6f8400c3,20.88,USDC.e:20.8823
0x9d12bafb1a58e78e2c151bd300100b61a85cea00,20.80,USDC.e:20.7987
0x5788669c160e738bef6752605c12093f2607f8ba,20.69,USDC.e:20.6930
0x3e0f195c8896eddacb6ad02ab52a0f9cc1af59c8,20.69,USDC:20.6890
0xe53a37ca3ec3604095ddbee90d5ca0d9a7a37f9b,20.69,USDC.e:20.6886
0xd5230b2961c6f7de6aafbdf6b39b3adbd3c9c2dd,20.68,USDC.e:20.6808
0xd54f8123e85493791630327ce7b9f49cb269f7c0,20.68,USDC.e:20.6781
0x942705af35bc61bb4286f8abda7e58ed0aad1f75,20.64,USDC.e:20.6408
0xfd4a1b25b69e1d3598ed8658148cf11370201387,20.64,USDC.e:20.6391
0x87bf87a5ab617a998e7d8b4e0b2145904c3f8107,20.62,DAI:20.6225
0x2e0de65b209c27bafb03de479dcd5ac01737317b,20.62,USDC.e:20.6184
0x1d52255cc6d517259cb77de52222982a882e0215,20.60,USDC.e:20.6014
0x1c756dcbc8ba0c5f1fd538e76833dbc7a00cc3b0,20.51,USDC.e:20.5172
